Name,Latitude,Longitude
andaman-&-nicobar-islands,10.2188344,92.5771329
andhra-pradesh,15.9240905,80.1863809
arunachal-pradesh,28.0937702,94.5921326
assam,26.4073841,93.2551303
bihar,25.6440845,85.906508
chandigarh,30.741482,76.768066
chhattisgarh,21.6637359,81.8406351
dadra-&-nagar-haveli-&-daman-&-diu,20.42,72.83
delhi,28.6273928,77.1716954
goa,15.3004543,74.0855134
gujarat,22.3850051,71.745261
haryana,29,76
himachal-pradesh,31.9292352,77.1828462
jammu-&-kashmir,33.6649297,75.1629584
jharkhand,23.4559809,85.2557301
karnataka,14.5203896,75.7223521
kerala,10.3528744,76.5120396
ladakh,33.9456407,77.6568576
lakshadweep,10.8832771,72.8171069
madhya-pradesh,23.8143419,77.5340719
maharashtra,18.9068356,75.6741579
manipur,24.7208818,93.9229386
meghalaya,25.5379432,91.2999102
mizoram,23.2146169,92.8687612
nagaland,26.1630556,94.5884911
odisha,20.5431241,84.6897321
puducherry,11.9416,79.8083
punjab,30.9293211,75.5004841
rajasthan,26.8105777,73.7684549
sikkim,26.8751197,91.5511211
tamil-nadu,10.9094334,78.3665347
telangana,17.8495919,79.1151663
tripura,23.7750823,91.7025091
uttarakhand,30.0417376,79.089691
uttar-pradesh,27.1303344,80.859666
west-bengal,22.9964948,87.6855882
